Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55531784,"Martien, van burgemeesterzoontje tot kasteelheer",Jan Dijkgraaf,"Dijkgraaf, Jan",Martien Meiland,"=""9083096645""","=""9789083096643""",3,3.10,Uitgeverij Osjato,Paperback,350,2020,2020,2024/09/01,2023/04/27,,,read,,,,1,0
124926616,"Maxime – Misbruikt, ontspoord en nu… gelukkig!",Jan Dijkgraaf,"Dijkgraaf, Jan",Maxime Meiland,"=""8908309667""","=""9789083096681""",0,3.16,Uitgeverij Osjato,Hardcover,256,2023,2023,,2024/09/02,to-read,to-read (#35),to-read,,,,0,0
49084724,Credence,Penelope Douglas,"Douglas, Penelope",,"=""1660089050""","=""9781660089055""",0,3.67,Independently published,Paperback,470,2020,2020,2024/08/24,2024/08/14,,,read,,,,1,0
59050133,"Hunting Adeline (Cat and Mouse, #2)",H.D. Carlton,"Carlton, H.D.",,"=""""","=""""",0,4.07,,Kindle Edition,684,2022,2022,,2023/08/15,to-read,to-read (#14),to-read,,,,0,0
29502646,"In Too Deep (Roommates Trilogy, #1)",Mara Jacobs,"Jacobs, Mara",,"=""""","=""""",2,3.49,Copper Country Press,Kindle Edition,236,2016,2014,2024/08/14,2024/08/12,,,read,,,,1,0
58014893,Every Summer After,Carley Fortune,"Fortune, Carley",,"=""""","=""""",0,4.17,Berkley,Paperback,320,2022,2022,,2024/08/14,to-read,to-read (#34),to-read,,,,0,0
61797464,Meet Me at the Lake,Carley Fortune,"Fortune, Carley",,"=""0735243786""","=""9780735243781""",0,3.68,Viking,Paperback,336,2023,2023,,2024/08/14,to-read,to-read (#33),to-read,,,,0,0
199025935,"How to Choose a Guy in 10 Days (Chick Flick Club, #1)",Lila Monroe,"Monroe, Lila",,"=""""","=""""",2,3.58,Lila Monroe Books,Kindle Edition,258,2018,2018,2024/08/06,2024/07/24,,,read,,,,1,0
31847592,"Twist Me (Twist Me, #1)",Anna Zaires,"Zaires, Anna",,"=""""","=""""",0,3.84,Mozaika Publications,ebook,312,2016,2014,2024/08/03,2024/07/29,,,read,,,,1,0
62047992,"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,"=""0063278677""","=""9780063278677""",3,3.63,Harper Perennial,Paperback,150,2023,2010,2024/07/30,2024/07/29,,,read,,,,1,0
34369803,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""1785656473""","=""9781785656477""",0,4.08,Titan Books,Paperback,422,2017,2017,2024/07/29,2024/07/29,,,read,Not for me at all ,,,1,0
